JobID,JobName,TotalCPU,MaxRSS,Elapsed
6425471_167,get_pmi_weights,22:55.740,9650272K,00:23:03
6425471_168,get_pmi_weights,22:37.365,9621392K,00:22:45
6425471_169,get_pmi_weights,22:22.822,9969080K,00:22:30
6425471_17,get_pmi_weights,23:07.129,13879024K,00:23:15
6425471_170,get_pmi_weights,22:42.808,9788380K,00:22:50
6425471_171,get_pmi_weights,22:28.154,9939756K,00:22:36
6425471_172,get_pmi_weights,23:26.040,9136296K,00:23:34
6425471_173,get_pmi_weights,23:42.977,9728304K,00:23:51
6425471_174,get_pmi_weights,23:25.872,9138032K,00:23:34
6425471_175,get_pmi_weights,23:08.618,10425200K,00:23:16
6425471_176,get_pmi_weights,23:11.052,9462952K,00:23:19
6425471_177,get_pmi_weights,20:42.279,10228764K,00:20:49
6425471_178,get_pmi_weights,21:02.426,10721672K,00:21:09
6425471_179,get_pmi_weights,24:31.047,11068728K,00:24:39
6425471_18,get_pmi_weights,22:59.438,14847528K,00:23:07
6425471_180,get_pmi_weights,24:47.935,11646164K,00:24:56
6425471_181,get_pmi_weights,21:07.247,9911876K,00:21:14
6425471_182,get_pmi_weights,21:21.513,10299740K,00:21:29
6425471_183,get_pmi_weights,21:07.594,9912868K,00:21:15
6425471_184,get_pmi_weights,24:18.923,11074396K,00:24:27
6425471_185,get_pmi_weights,20:56.602,10451644K,00:21:04
6425471_186,get_pmi_weights,20:50.447,11962656K,00:20:57
6425471_187,get_pmi_weights,20:39.726,11688404K,00:20:47
6425471_188,get_pmi_weights,20:46.959,11759812K,00:20:54
6425471_189,get_pmi_weights,20:04.874,10943648K,00:20:12
6425471_19,get_pmi_weights,23:23.826,14928508K,00:23:32
6425471_190,get_pmi_weights,21:40.305,10588268K,00:21:47
6425471_191,get_pmi_weights,21:35.009,9908588K,00:21:42
6425471_192,get_pmi_weights,21:25.410,10790352K,00:21:32
6425471_193,get_pmi_weights,20:26.138,10082676K,00:20:33
6425471_194,get_pmi_weights,21:01.793,10032156K,00:21:09
6425471_195,get_pmi_weights,20:40.513,10773568K,00:20:46
6425471_196,get_pmi_weights,20:03.851,11971868K,00:20:11
6425471_197,get_pmi_weights,20:13.719,11662472K,00:20:20
6425471_198,get_pmi_weights,20:23.493,10692604K,00:20:30
6425471_199,get_pmi_weights,20:32.997,10719208K,00:20:40
6425471_2,get_pmi_weights,21:55.632,13774428K,00:22:04
6425471_20,get_pmi_weights,23:00.351,14980960K,00:23:08
6425471_200,get_pmi_weights,20:36.729,11067320K,00:20:44
6425471_201,get_pmi_weights,20:32.210,11501648K,00:20:38
6425471_202,get_pmi_weights,20:52.186,11696692K,00:20:58
6425471_203,get_pmi_weights,20:14.473,10332108K,00:20:20
6425471_204,get_pmi_weights,20:16.141,10626432K,00:20:21
6425471_205,get_pmi_weights,19:53.489,10613484K,00:19:59
6425471_206,get_pmi_weights,20:05.907,10546524K,00:20:11
6425471_21,get_pmi_weights,22:51.560,14045876K,00:22:59
6425471_22,get_pmi_weights,22:57.024,14987168K,00:23:05
6425471_225,get_pmi_weights,20:14.959,9983008K,00:20:21
6425471_226,get_pmi_weights,18:56.350,11170752K,00:19:02
6425471_227,get_pmi_weights,19:23.306,11630736K,00:19:29
6425471_228,get_pmi_weights,18:57.034,11822508K,00:19:02
6425471_229,get_pmi_weights,18:33.534,11763132K,00:18:39
6425471_23,get_pmi_weights,23:14.818,14959192K,00:23:23
6425471_230,get_pmi_weights,18:56.165,11883264K,00:19:02
6425471_231,get_pmi_weights,18:31.967,9934988K,00:18:37
6425471_232,get_pmi_weights,18:51.051,10039276K,00:18:56
6425471_233,get_pmi_weights,18:52.408,10861776K,00:18:58
6425471_234,get_pmi_weights,19:27.693,10678536K,00:19:33
6425471_235,get_pmi_weights,18:32.524,11223192K,00:18:38
6425471_236,get_pmi_weights,19:02.637,11393544K,00:19:08
6425471_237,get_pmi_weights,18:47.494,11466684K,00:18:53
6425471_238,get_pmi_weights,18:22.866,11728004K,00:18:28
6425471_239,get_pmi_weights,18:50.156,11599032K,00:18:55
